plan,office,district,DEM,REP,TOT,margin,winner
Evers least change,USH,16,14045.719239805065,1394.1375592743523,15696.382596622223,80.6018941157389,dem
Evers least change,USH,17,18899.45246277465,4204.9357772770145,23483.240132747513,62.574485473178164,dem
Evers least change,USH,18,15388.728222342006,3564.860399750696,19366.04696622108,61.0546274271404,dem
Evers least change,USH,19,23478.712002115473,5158.265674990047,29350.561893581224,62.419405780207526,dem
Evers least change,USH,20,15538.245417654729,11341.110729254317,27350.769136699182,15.345581937469943,dem
Evers least change,USH,21,11996.935784113293,12257.390586046899,24463.353435739013,-1.0646733393186447,rep
Evers least change,USH,22,13196.892592770419,20440.126549546756,33658.85007103993,-21.51955263322681,rep
Evers least change,USH,23,10280.85130701341,17240.09506291461,28994.095747477662,-24.002279003671354,rep
Evers least change,USH,24,10106.56898127232,23359.6212365225,33681.56658746674,-39.3480873902753,rep
Evers least change,USH,25,0,19488.329019663786,20532.01213676208,-94.91680060314398,rep
Evers least change,USH,26,0,18016.130737277526,19276.375539083063,-93.46223153180236,rep
Evers least change,USH,27,0,19805.91717015681,21256.134790915858,-93.17741614350872,rep
Evers least change,USH,28,9345,17744,27089,-31.00520506478644,rep
Evers least change,USH,29,9428.826180030359,14539.506482193929,23981.234058754122,-21.311164761756558,rep
Evers least change,USH,30,13374.495208427757,14718.820872574477,28119.414684472402,-4.780773992742665,rep
Evers least change,USH,31,10778.540349501225,15672.761554447638,26764.501335983095,-18.286240955912962,rep
Evers least change,USH,32,9000.101743002748,16882.45572347899,26138.59000696138,-30.15600297635399,rep
Evers least change,USH,33,10194.940561229614,19013.77274987913,29247.923090242733,-30.151994592708448,rep
Evers least change,USH,34,12569.625273169533,20681.261935557242,33273.88790510561,-24.37838549411908,rep
Evers least change,USH,35,8992.983848260234,18992.033048958972,28315.01484490817,-35.313593354858675,rep
Evers least change,USH,36,1542.7291836549787,21666.722164989584,27922.39468836502,-72.07115724110893,rep
Evers least change,USH,37,17626.583145579785,10196.130785102547,28508.988472075303,26.063542618340886,dem
Evers least change,USH,38,11627.155564098734,15693.35858474592,27482.51520704571,-14.79560000245076,rep
Evers least change,USH,39,2935.297964335943,19430.778583075495,22379.27366279605,-73.70873991394151,rep
Evers least change,USH,40,0,20901.783342048755,25611.550415558697,-81.61076937127235,rep
Evers least change,USH,41,2574.306781011818,19285.832101656095,22313.951420746653,-74.89272072675817,rep
Evers least change,USH,42,3972.5941373148466,18248.212321571587,23087.54645737633,-61.83254773568964,rep
Evers least change,USH,43,14120.859447050403,12178.714737592845,26693.166048065992,7.275812490584172,dem
Evers least change,USH,44,13018.334794688504,9287.842336100488,22495.04622604322,16.583617660092237,dem
Evers least change,USH,45,10683.633033004247,8959.252402745502,20057.696814644714,8.597101881606495,dem
Evers least change,USH,46,22264.377687030832,8664.249435483433,31529.384736381933,43.13477210309827,dem
Evers least change,USH,47,23704.848026872358,6375.029572088966,30681.43610680334,56.483074633330666,dem
Evers least change,USH,48,28799.386874518335,3241.3713821726665,32589.639583276574,78.4237439233934,dem
Evers least change,USH,49,9872,13045,22979,-13.808259715392317,rep
Evers least change,USH,50,9844.167138810199,13846.294617563739,23887.379603399433,-16.7541502885649,rep
Evers least change,USH,51,14493.378472222223,12039.607638888889,27174.008680555555,9.02984488662925,dem
Evers least change,USH,52,0,18389.09099972307,18789.90437947541,-97.86686844351291,rep
Evers least change,USH,53,0,19507.803656701024,20155.9182813402,-96.78449467996116,rep
Evers least change,USH,54,0,14332.02838479877,15851.769607073002,-90.41279768792421,rep
Evers least change,USH,55,0,16850.416170403183,19264.851125266017,-87.46714968538592,rep
Evers least change,USH,56,0,19251.28171225891,26406.938626031926,-72.90236094721341,rep
Evers least change,USH,57,0,12269.822189097667,19161.80109646011,-64.03271867467801,rep
Evers least change,USH,58,9061.996868994665,21232.378317913106,30294.375186907775,-40.173733156173746,rep
Evers least change,USH,59,3286.4179644683627,24246.788814175212,28293.373733354227,-74.0822605576983,rep
Evers least change,USH,60,1515.1861274903622,24154.574443714373,27150.18869237662,-83.38574944262108,rep
Evers least change,USH,61,9863.044723281517,18187.237528732578,28248.905481270773,-29.46731090508997,rep
Evers least change,USH,62,11090.344186305863,19119.223974660592,30398.24835173304,-26.41231065505454,rep
Evers least change,USH,63,10167.28141507672,17218.597799913623,27587.958984507484,-25.55939853613925,rep
Evers least change,USH,64,12001.618254225601,10996.923965815655,23161.0843174539,4.33785514805462,dem
Evers least change,USH,65,10026.439703798147,7774.107505737138,17937.324677842815,12.556678537704203,dem
Evers least change,USH,66,10200.630337957116,5165.614302243737,15517.662875601189,32.446999758127625,dem
Evers least change,USH,67,9181.824687621374,16810.999203449494,25998.841906889636,-29.34428596146971,rep
Evers least change,USH,68,12233.735900488493,14189.28750842637,26443.027429923855,-7.395339331399348,rep
