plan,district,GOV,SOS,USH,USS,WAG,WSA,WST,predict_v1,predicted_dem_win,predict_v2,predict_avg,final_wsa,predict_party2tot,contested_2022
2012,10,82.756307884752,79.65005718426072,81.37805636541943,82.27428244238875,81.06014120951676,99.11327633450225,80.53997798968815,87.10118827408851,1,81.43277354438409,81.65767738158642,81.43277354438409,18823.65550042159,NA
2012,11,72.2026273049322,70.19857478477233,71.26597853622296,71.83255043304497,70.90615898317216,98.13846360139942,70.493168528729,76.38728278865673,1,71.45958368028435,71.35862631246958,71.45958368028435,15330.435152309954,NA
2012,12,64.54721973366979,62.45315510962395,62.901898775968576,63.18210691815192,62.8634067330438,64.94223856710508,62.63256222400735,66.50952702594306,1,63.4070530723933,63.30632390221822,63.4070530723933,16183.48676431603,NA
2012,13,12.248252210131492,8.468518687174692,5.143232627663263,7.562647444545073,8.879058153827552,14.258387126015007,5.112395181141871,7.1542596009860615,1,9.090866979090695,8.450588247411497,9.090866979090695,31306.040771959255,NA
2012,14,18.819827386202537,14.867667570880505,11.683695703591336,14.294476874306543,15.205242868618724,13.775882281813196,11.886369506838834,14.076454381541218,1,15.518642883591742,15.05147915899166,15.518642883591742,33716.1820462029,NA
2012,15,1.4787369445893483,-0.4452250086907805,-4.865606814123957,-2.4471132525956674,-0.8279020825329553,-51.8554627129764,-3.3580234874591444,-2.880322174716096,0,-3.985205905537577,-1.2885754694996048,-3.985205905537577,25055.90158150914,NA
2012,16,84.20967654221145,79.48206426372805,82.78210626236738,84.18691949594745,81.54895971048064,98.76071894847502,81.03866956035995,89.31695265998579,1,82.38171281973035,82.74605632724987,82.38171281973035,14433.541481771043,NA
2012,17,75.41052340426317,72.68907169945668,73.97171961978628,75.34317616899106,73.74075796517741,73.94596525840562,73.53843279734996,80.14713952081799,1,74.50898819213562,74.5082225839454,74.50898819213562,18680.313863611333,NA
2012,18,78.5132715609816,75.2899206310105,76.91304920903055,78.32589039364073,76.37521399954457,98.58814050616432,76.31929765599924,83.0293202348927,1,77.22121964495341,77.38341840254154,77.22121964495341,14828.109234514173,NA
2012,19,68.2202583199355,63.20970986738397,63.656022092393926,66.35785215792009,65.49498357720461,96.2408291913578,63.06612751252245,69.99657566028706,1,65.559740550101,65.78480539189566,65.559740550101,30051.66198807035,NA
2012,20,30.562764513712576,28.882586059176656,25.51298265717295,26.92187031744372,29.347540956306084,30.563555662581308,27.37067040939535,27.751296016235848,1,29.24876877956988,28.55071154921443,29.24876877956988,25327.60622751709,NA
2012,21,1.1755353707882166,-0.3854317397121665,-7.803156420922725,-3.008213783682945,-0.6874818642392477,-8.195097366538274,-3.5051083209641343,-3.5118371736348952,0,-4.651146178501444,-1.5063171495245276,-4.651146178501444,24867.06871964224,NA
2012,22,-18.50322585339278,-21.501116905216012,-25.539455056373832,-23.395271232307714,-21.52275560572583,-23.639483896662643,-24.989775679146536,-25.1503535323575,0,-25.48839399083295,-22.102757092643216,-25.48839399083295,34081.37183091654,NA
2012,23,15.92979047119487,11.813188895124645,-25.14667491009706,11.137848045867656,12.277243842350888,12.627300815669152,8.202516540971573,10.839045738492892,1,12.380606696116347,11.886849725096248,12.380606696116347,34914.91038655819,NA
2012,24,6.391202639735477,3.3607524604716055,-11.169657910692548,1.9817194376297589,3.570114750304898,4.71128892839468,0.4621641741148153,1.4454486541790448,1,4.003986991902982,3.101300250446237,4.003986991902982,32346.862203451576,NA
2012,25,-22.244184794366785,-21.68352994784642,-93.82889501548549,-27.263546334782447,-20.921956947796,-96.7760025192304,-26.070377372229274,-28.105708201064026,0,-27.722723221210995,-24.12501636229363,-27.722723221210995,24316.976254835095,NA
2012,26,-15.518062589780184,-16.912576410370306,-93.41748564599168,-19.73968720665138,-17.157526271073753,-25.33253074328422,-19.866486305298515,-20.889459775056515,0,-20.95293561064974,-18.070440593200956,-20.95293561064974,24697.118775770454,NA
2012,27,-13.173553891045309,-14.88584626136612,-93.17793022333495,-18.111994148722783,-14.066697943766004,-65.245355178092,-17.988162620425584,-19.269200732378437,0,-19.698443327551587,-15.83510215098992,-19.698443327551587,27900.977199714467,NA
2012,28,-25.758321945448,-28.663677092992906,-31.00381809504756,-30.288382356113935,-29.256483365671286,-29.91186764341849,-29.275018651567407,-33.225306048532936,0,-32.97112093361808,-28.644551579700156,-32.97112093361808,27056.429435507023,NA
2012,29,-13.97786267174158,-17.21652590122686,-18.91620530140171,-18.67656977853179,-16.85329564634255,-18.17954608907956,-17.85885132982087,-20.909758389863292,0,-21.40692537123728,-16.841644856609197,-21.40692537123728,24415.53183370639,NA
2012,30,-1.668282994352599,-4.975752928580196,-6.005344518806472,-5.258686688684561,-5.018593738457977,-8.113411303967794,-6.511690976531936,-6.015282577969138,0,-6.901928568605307,-4.614313599506769,-6.901928568605307,29414.79898283801,NA
2012,31,-7.887639872093932,-18.697446729673917,-18.16879104480258,-13.80163988453086,-12.989402426801666,-16.52391443954108,-15.168227853920724,-16.74259369996662,0,-18.43115099201389,-12.461727509336797,-18.43115099201389,26769.068325605123,NA
2012,32,-22.074971693118517,-27.22914024346211,-30.152037078744364,-26.326926455823692,-24.845878194832956,-34.78118665530332,-27.44291329052839,-27.933067388917408,0,-27.735805611227825,-25.17267240857589,-27.735805611227825,25925.130036487313,NA
2012,33,-20.606650747354387,-23.579970816861145,-26.96842655979197,-24.830537632239363,-23.220490653144267,-40.34085378925869,-25.27084025375196,-26.52138042594924,0,-26.37906577597306,-23.482129821622493,-26.37906577597306,28661.87793731007,NA
2012,34,-20.47481577124175,-23.0990961911593,-26.32224945100143,-25.39353488054912,-20.647952738234338,-27.41028569165508,-25.13065314975453,-26.513994533436563,0,-26.385294576660193,-22.91173913494493,-26.385294576660193,33293.71942133417,NA
2012,35,-27.288765688380835,-28.48055545968197,-34.73865453401879,-32.38731081807304,-25.866792996651615,-66.55409589180722,-30.86190178330412,-33.51750825556887,0,-32.83195194243879,-29.101192821602403,-32.83195194243879,26523.486732725392,NA
2012,36,-33.60791442153908,-34.392628539745374,-72.14604124472015,-37.76977272522997,-32.532547354239895,-46.02449189350333,-36.58017102520142,-38.70968039406553,0,-37.26631877564853,-35.12260138155259,-37.26631877564853,27722.509525648125,NA
2012,37,-7.20265281089798,-10.421753957266615,-19.19383028572336,-11.407596281344984,-10.917947128330177,-19.430891306456484,-12.436727862211422,-12.922439207093955,0,-13.75934899870149,-10.49123102069614,-13.75934899870149,28311.531057471875,NA
2012,38,-12.766102863951197,-15.924388006191965,-19.42161434934596,-17.71666857350483,-16.252517886797936,-83.99515311917601,-18.766867407422744,-19.694668412256735,0,-20.4700936166666,-16.375539182919177,-20.4700936166666,32870.91953261116,NA
2012,39,-31.04298776783519,-31.30385963617964,-67.71302449335677,-33.37480851789329,-31.07611276988348,-93.83693863308316,-33.453687962105825,-33.39762106195771,0,-31.479404062746468,-32.236899254429446,-31.479404062746468,26066.638241538858,NA
2012,40,-30.695327827828606,-31.89609482630633,-81.19724552708614,-34.76544619278381,-30.819713551920582,-72.960164586147215,-33.83524047409884,-36.03187257757897,0,-34.87685338655912,-32.52893201165796,-34.87685338655912,25710.753791414398,NA
2012,41,-22.281529439726505,-25.20249274546173,-73.80945880310479,-26.847301229212196,-24.461177701343196,-74.84186775523654,-27.108653273308857,-28.62651328328105,0,-28.47123408641739,-25.174665410897692,-28.47123408641739,25140.72427654575,NA
2012,42,-11.34262651226125,-13.99042168209555,-85.1028825962497,-16.436101702930213,-15.222134116949016,-26.91483853287399,-16.59198890787124,-18.919224662952132,0,-19.880963941336685,-14.89821281000293,-19.880963941336685,27160.294724429063,NA
2012,43,13.71435659903998,7.717107250496702,7.245278834623719,8.516198707932993,8.894143290122635,10.205398376130798,7.810266831101464,6.634405383406742,1,10.053405224342457,9.733741357049269,10.053405224342457,26364.04375371206,NA
2012,44,26.991210019860578,18.857424989765885,17.050642127889315,21.641857906673113,21.903143929373048,25.746085610624178,21.356889129021994,19.900512805859627,1,22.92370503079997,22.973275246232184,22.92370503079997,21721.109130686767,NA
2012,45,13.689409267643038,6.630550150629394,8.425432367532848,8.053634521464726,7.748171485580968,8.23608093003485,7.771704096090509,5.279876348811035,1,9.405327252802774,9.315729842694811,9.405327252802774,19183.35166710455,NA
2012,46,42.432909871170374,37.97397958846518,38.58079328192364,38.20960285529703,37.605041303536325,37.52100048461692,36.24996029144592,38.281886224391485,1,38.38459643824703,38.62437858036241,38.38459643824703,32626.82724291957,NA
2012,47,59.683512064427035,55.35711722407321,55.793192165106085,55.94425590237621,55.844774395354435,56.095435329869005,54.99502351293013,57.01688573553339,1,56.19625768664123,56.616891468771954,56.19625768664123,32422.76859430225,NA
2012,48,68.4928711068509,64.80564772003544,65.40878732669265,65.41527051262352,65.16435317083533,89.69347502049165,64.16018675515083,67.48520437670268,1,65.34237315717681,65.80817038636515,65.34237315717681,32600.43210433301,NA
2012,49,-6.834516513073774,-10.761353517364208,-13.967872558180922,-13.567684242984896,-12.435486741413063,-25.632855372632317,-13.172550076349593,-17.70842014439683,0,-19.850467898421297,-11.502559393455332,-19.850467898421297,22375.84513793641,NA
2012,50,-14.253448038389148,-18.124383742209137,-19.08675391381226,-20.43289784340513,-18.65974036297155,-29.29241413039736,-19.64098149379937,-24.134865574981863,0,-25.4251177026198,-18.2467669346413,-25.4251177026198,23481.09938189317,NA
2012,51,6.604367536535277,3.2649605199154665,3.2703647926385027,-0.36352304509512656,1.2443899397643177,-10.701271038382052,0.11961149293267526,-4.048411520307812,0,-7.1163418612913985,1.901211481034286,-7.1163418612913985,24545.21259427242,NA
2012,52,-17.661717021041795,-18.793630809619028,-97.86686844351291,-21.363972657282716,-20.648972741731097,-29.1394350895274,-21.62822861383943,-22.919962944529743,0,-22.783208072691828,-20.32572275847376,-22.783208072691828,24697.669161104917,NA
2012,53,-24.420668816244557,-25.936705673169666,-96.86242580543248,-29.001132066674,-25.338911355335053,-91.3951210000973,-28.924338881919397,-30.384159099981247,0,-29.94869120249082,-26.921262780043254,-29.94869120249082,24762.82547151356,NA
2012,54,14.501185743677176,10.439398550172768,-90.11279907219463,9.623191151641713,13.038777268620056,7.864021453734443,9.198276391824711,9.420595008975495,1,12.469726457052477,11.590357638940914,12.469726457052477,21784.666556077456,NA
2012,55,-0.8255603734502626,-4.8119301433731,-85.95440500485954,-5.69362164466114,-2.2681377737097552,-6.835961135821522,-6.939019018126924,-6.165583929015389,0,-7.4303714600212984,-3.9315847024870205,-7.4303714600212984,27842.6491196055,NA
2012,56,-11.097368387704758,-14.763832919992453,-75.27557180796873,-16.430920855663572,-12.58484654986538,-23.503573368718545,-17.764139873847846,-17.503379052870265,0,-18.320136826337,-14.469318916770389,-18.320136826337,31637.87696644222,NA
2012,57,20.47672509137715,16.705253264526558,-66.92711522824054,16.252486221629148,19.15643064446746,14.039625025321262,15.468519264272572,16.784156053976485,1,18.67872617854188,17.838540305436585,18.67872617854188,22212.79791333381,NA
2012,58,-34.34043226853586,-36.12277995140294,-40.169429867476424,-38.2803928964207,-36.25214563457165,-39.97184959455598,-38.64661231783369,-40.02261073521611,0,-38.803263894185605,-36.87989577934047,-38.803263894185605,30137.41920098197,NA
2012,59,-46.79560875415154,-46.29283517308557,-71.41140778298632,-49.737378545094614,-46.988788796788675,-89.83653129583817,-49.556485365669786,-50.803973633323224,0,-48.16004758766482,-48.269565365426146,-48.16004758766482,29675.397178826366,NA
2012,60,-25.796562882338936,-28.63503083351769,-83.39088249349498,-30.01637488631175,-28.207611729258392,-29.526458968634262,-31.228329934235877,-31.540122979835623,0,-31.051885011132924,-28.812219858036237,-31.051885011132924,33066.07038729105,NA
2012,61,-21.46983996096391,-24.05978791799394,-29.50707196462396,-25.1606233234342,-23.255171819352455,-27.884550859634587,-25.45536533200482,-26.27261378128449,0,-25.749736962617796,-23.835250108938844,-25.749736962617796,27786.692922471055,NA
2012,62,-11.02509351699988,-12.64738691860298,-19.605337843298877,-14.42175512092539,-12.482700325845514,-13.11442063190188,-15.27216188240812,-14.664206042535174,0,-14.648597253359103,-13.300427711544726,-14.648597253359103,28068.56358050736,NA
2012,63,-16.181676139567795,-18.141459757038625,-25.56646878155302,-20.612425564517967,-17.877543384060886,-68.77941298592128,-20.705387963569116,-21.929603715662296,0,-22.046368706033878,-18.84425826292894,-22.046368706033878,27304.827691945116,NA
2012,64,11.071426675175472,9.25066233526055,3.0300568365533076,8.04076175851829,9.70657337278727,11.79274084362733,7.586531310084049,8.698969950494174,1,10.300198243141928,9.101323279141269,10.300198243141928,22344.71456079068,NA
2012,65,20.699220551766224,19.03164748695322,13.0942861224558,17.94427036113041,20.252655563522744,24.333498505338778,18.128735378497453,19.311243631401325,1,20.413859619984855,19.256220463729207,20.413859619984855,16965.66184471683,NA
2012,66,40.93828023431511,38.33418821418855,34.61399630685478,39.17191117911761,39.227946706543634,73.91020751349605,37.99206621216831,41.63548394700276,1,39.92862226127503,39.332551083036165,39.92862226127503,14109.302442691587,NA
2012,67,-19.08365605910473,-21.491119270385656,-24.620816492080426,-25.611246282024275,-18.799423428935828,-30.769827969506046,-23.182556736075092,-28.001019850928866,0,-28.568870167398977,-21.66922062653498,-28.568870167398977,26928.039277104413,NA
2012,68,-10.350106701855175,-13.72428003604124,-15.593879128576098,-17.63310302778695,-10.087826704830372,-21.76409129785099,-14.862762489481112,-20.20966632651035,0,-21.65408032005455,-13.233449730988402,-21.65408032005455,25308.47030017603,NA
2012,69,-24.415384428763165,-26.53832237436027,-31.5541273220708,-29.98752106869192,-23.63324614644786,-36.023098060072805,-28.319686704995306,-31.600867137531154,0,-31.372889645911613,-26.58895958722456,-31.372889645911613,22597.836227632248,NA
2012,70,-18.26564531237119,-21.128330092456704,-23.758216088749883,-24.41037562662509,-18.234375031777233,-31.27080411950151,-22.091556132483703,-26.660068345381532,0,-27.147022089497455,-20.750488025814306,-27.147022089497455,24722.02259957074,NA
2012,71,12.406925379239995,9.587711696772732,7.617082480889264,7.438483591003853,11.88611256314619,14.356841271921228,8.610765884109107,7.022839614570637,1,11.161238285710745,10.085571854374786,11.161238285710745,26601.752137801752,NA
2012,72,-19.191077139418045,-21.16627056609341,-36.42961203140681,-24.68877427056983,-19.535210373009615,-24.156619508578753,-22.86524732565819,-26.65752985768882,0,-26.85872528996434,-21.57007727716392,-26.85872528996434,26044.192908200363,NA
2012,73,5.048053532526237,2.656440292405321,-0.5561492819430303,0.30356518799136145,2.039893333300297,-3.0145597557046324,1.8120623449365048,-1.5532445453368924,0,-3.286876409204191,2.3008935996886,-3.286876409204191,25718.990877972374,NA
2012,74,1.1712045232726398,-0.6551478325808768,-4.205117804144271,-3.3316472770190564,-0.19020446980504424,-4.040061110168058,-1.5408740710438409,-4.526123209314583,0,-5.715512178796856,-0.9728803236488255,-5.715512178796856,29231.614992963943,NA
2012,75,-24.919423784133375,-27.45619848597593,-30.568926067882924,-30.304736364121577,-27.10897708744057,-91.77762902636212,-28.424572921805897,-33.31497662497574,0,-33.317250716160494,-27.68942753937535,-33.317250716160494,26039.60440444743,NA
2012,76,82.78083705220651,77.18610908962769,79.65738313959248,81.86089023926635,80.00409158375763,98.48786198008396,77.43300179700734,86.86126744826566,1,80.05534852337591,80.51970516805946,80.05534852337591,36827.09742860545,NA
2012,77,81.166316030822,77.06306937866805,78.39708840991221,79.37556450370586,78.9024695239783,95.1414477092658,77.33204369343102,83.32157721313494,1,78.75526619986894,79.19409843798431,78.75526619986894,31883.779225298946,NA
2012,78,66.80884149341858,61.950942583010594,62.50350752173497,63.34714971153822,62.7201088375331,63.245103196716734,60.67840468947725,65.27755148472943,1,62.787140145458864,63.38862618299179,62.787140145458864,36936.20963746344,NA
2012,79,42.80953607783843,38.43837199614494,38.46848040767708,37.79479808689228,38.063168191819216,38.65380433853866,35.767863868151984,37.54336872793498,1,38.27706617418498,38.60884155617548,38.27706617418498,39269.61286796254,NA
2012,80,38.73945597376378,34.27039045954673,34.53193364761325,33.550525677989626,33.657620243626255,34.065329176469945,32.522755437077386,32.570021586729865,1,34.31068097703139,34.61758933311426,34.31068097703139,36086.993406539434,NA
2012,81,16.75783954787432,12.781542985730663,-5.152467827597884,11.212130323817348,12.200334056793285,0.4732314626186062,10.944661470484329,9.243267483726303,1,13.029368511597122,12.77874134974232,13.029368511597122,26606.190042154543,NA
2012,82,0.3581753319847114,-1.994850596580111,-9.877113906317636,-4.622619016123481,-1.4637251804889284,-4.0138114744244895,-5.11148329951539,-5.540587965203018,0,-6.963627233782856,-2.709913041035772,-6.963627233782856,27927.948622652573,NA
2012,83,-32.07267885821382,-34.08387101150906,-38.91614985905749,-36.40724596265939,-33.96654168011101,-59.37412226106101,-37.280049165761056,-38.087281938343345,0,-37.184848906217695,-34.93162891668632,-37.184848906217695,32544.946928338173,NA
2012,84,-4.5828185677110165,-6.618882311056967,-11.225364057242103,-9.692967973063544,-6.727178753887758,-34.87512091597397,-9.85606632948678,-11.117392359394511,0,-12.314940065631125,-7.714757906037274,-12.314940065631125,27916.42996023286,NA
2012,85,-2.664908974706681,-5.2796639941619095,-9.484157721177322,-7.142055001180125,-3.7038162418261686,-11.46177900277457,-7.601333054583181,-7.55732997269886,0,-8.481729816288292,-5.278028318074039,-8.481729816288292,23749.06261948196,NA
2012,86,-21.23915746151362,-23.070713932369408,-28.01958037994358,-26.56971083579587,-21.052520780330052,-92.77920011304944,-25.669374017550428,-27.969305622359435,0,-27.918492204030564,-23.632690773797492,-27.918492204030564,28808.37682976239,NA
2012,87,-32.22579419990084,-33.35027003351605,-37.63612394491817,-36.85642616916207,-31.251732081334264,-39.39568270834724,-35.37545059700179,-38.12736177577815,0,-36.98040751944481,-33.92735076184974,-36.98040751944481,25234.33372773781,NA
2012,88,0.7877489822001094,-2.2825833524938446,-68.12926644992719,-4.2550080622676125,-0.6668207690576022,-7.894929887050517,-5.319978149969634,-4.822227943510051,0,-6.263454490961773,-2.363514499773685,-6.263454490961773,26632.47423093779,NA
2012,89,-27.622929078122866,-29.852990368207927,-76.98877954627494,-32.76647079342086,-28.900616831532066,-33.415597528122795,-32.791867537881004,-34.68495539083938,0,-34.32938779116405,-30.5204710602392,-34.32938779116405,26884.999567261904,NA
2012,90,22.899081823734413,18.95944197682607,-55.977519087786995,18.8602994323226,21.286631718631355,20.086953778405253,18.423067174482693,19.319658602393666,1,21.12820964239226,20.367270037292766,21.12820964239226,15146.022603517646,NA
2012,91,32.845482962908385,27.63575554333249,29.41800447532328,28.002437478473112,31.53456001606235,29.31715212590269,27.632115883007785,28.539236293148704,1,30.48349505427936,30.003649085112908,30.48349505427936,25253.03343307143,NA
2012,92,-12.89602291877317,-16.370892417423793,-16.947150870977268,-19.922385793225633,-12.896800169527443,-23.356489325652323,-16.600197264033618,-22.771534353575245,0,-23.96819464936001,-15.578851536389966,-23.96819464936001,23480.204333403395,NA
2012,93,-13.370899187354668,-16.76568647672691,-17.01228473154139,-19.31458894171563,-15.086725649486254,-21.752047345547567,-17.225067024059253,-22.031733662510923,0,-22.94950209185204,-16.24932020065395,-22.94950209185204,28698.338657921417,NA
2012,94,3.5243954185894655,-0.6924240569136375,1.8961397783609668,-3.4874584419489207,2.8078856784446495,2.036476590376024,-2.977896048894441,-5.125786030777452,0,-7.477676899426842,-0.033268348452311636,-7.477676899426842,29560.03147004418,NA
